word,ML,HW
convents,2,3
conversation,37,5
conversations,2,0
converse,5,6
conversed,9,0
conversible,1,0
conversing,7,0
convert,2,1
convey,10,1
conveyed,16,6
conveying,4,1
conveys,1,0
conviction,4,0
convince,25,0
convinced,59,5
convinces,1,1
convincing,1,0
convinction,1,0
convulsed,1,0
convulsion,1,0
convulsions,11,0
convulsive,1,0
cooking,1,0
cool,2,0
cooled,2,0
cooling,1,0
coolness,1,2
cope,2,0
copied,3,2
copies,7,7
copy,14,11
copying,4,4
copyright,20,20
coquetry,2,0
cor,1,0
coral,2,0
cordiality,1,1
cordials,1,1
cordova,11,0
cork,1,0
cornelia,2,0
corner,8,0
coronet,1,0
corporation,1,1
corpse,0,1
correct,2,0
correctly,0,1
correctness,3,0
correspond,0,1
correspondence,3,2
correspondent,0,1
corresponding,1,0
corroborate,0,1
corroborated,1,0
corrupt,2,1
corrupted,4,1
corruption,4,0
corsairs,0,1
corse,11,2
corses,1,0
cost,7,3
costs,2,2
cot,1,0
cottage,22,0
cottages,1,0
couch,14,1
couldst,0,1
council,3,1
councils,0,2
counselled,1,0
counsels,6,1
count,4,5
counted,1,0
countenance,46,5
countenances,0,1
counteract,1,0
counterfeit,0,1
counterfeiting,1,0
countries,2,1
country,11,5
countrymen,3,0
countrywoman,1,0
courage,27,6
course,26,3
courser,5,0
court,9,21
courted,2,0
courteous,1,5
courtesy,0,3
courtly,1,0
courts,2,0
courtyard,0,2
cousin,8,0
cousins,1,0
covent,1,0
cover,1,0
covered,24,2
covering,3,0
covers,1,0
coverture,2,0
covey,1,0
coward,3,0
cowardice,1,0
cowl,9,1
cowper,1,0
cradle,2,0
crafty,2,0
craggy,1,0
cranny,0,1
crash,2,0
cravings,2,0
crawling,1,0
creak,1,0
create,6,0
created,20,2
creates,1,0
creating,6,4
creation,2,1
creator,2,0
creature,15,0
creatures,3,1
credit,11,1
creditable,1,0
creditably,1,0
credited,7,0
credulity,1,0
credulous,2,1
creeping,1,0
crept,2,0
crevices,1,0
crickets,1,0
cried,64,87
cries,14,2
crime,43,3
crimes,40,5
criminal,9,4
criminals,1,1
criminate,1,0
crimson,7,0
crimsoned,1,0
critic,1,0
critical,1,3
criticised,1,0
criticism,3,0
critics,1,0
crooked,1,0
cross,13,3
crossed,8,3
crosses,4,0
crossing,0,1
crow,1,0
crowd,21,2
crowded,9,1
crowds,1,0
crown,4,1
crowned,1,0
crucifix,13,2
cruel,24,7
cruelly,1,0
cruelties,2,0
cruelty,14,2
cruises,0,1
crumbling,1,0
crusade,0,1
crush,1,0
crushed,2,1
cry,19,0
crying,0,1
crystal,2,0
cuba,4,0
culpability,1,0
culpable,6,0
culprit,3,0
culprits,1,0
cultivated,1,0
cultivating,1,0
cunegonda,22,0
cunning,1,0
cup,2,1
cupboard,2,0
cupid,5,0
cupidity,1,0
cupids,1,0
curb,0,1
curbed,0,2
curdled,0,1
cure,2,0
cured,1,0
curiosity,34,10
curious,6,2
curiously,1,0
curling,0,1
current,2,1
curse,6,1
cursed,8,5
curses,8,0
curst,1,0
curtain,7,0
curtains,3,0
curtsey,0,1
custody,2,0
custom,6,0
customary,0,1
customs,2,0
cut,5,0
cutlass,1,0
cuts,1,0
cutter,1,0
cutting,2,1
cymbeline,1,0
cytherea,1,0
d,0,3
da,4,0
daemon,1,0
dagger,19,3
daily,14,0
dale,1,0
dalfa,4,0
dalliance,1,0
damage,3,2
damaged,1,1
damages,4,4
dame,21,0
dames,3,0
damn,1,0
damnation,1,0
damned,1,0
damning,1,0
damon,1,0
damp,3,2
damped,1,0
dampness,1,0
damps,3,0
damsel,3,4
damsels,1,1
dance,4,0
danced,2,0
dancing,1,0
danger,55,8
dangerous,28,1
dangerously,1,0
dangers,11,1
danish,2,0
daphne,1,0
dare,23,21
dared,24,3
dares,2,1
darest,1,3
daring,3,2
dark,20,6
darkest,1,0
darkness,17,3
darling,1,1
dart,1,0
darted,19,0
darting,8,0
darts,3,0
dash,1,0
dashed,4,4
dashing,3,0
data,1,1
date,2,6
daughter,70,31
daunt,1,0
daunted,1,1
dauntless,1,1
dawn,1,1
dawned,1,0
dawning,4,0
dawns,0,1
day,106,7
daybreak,2,0
daylight,3,0
days,48,11
dazzled,2,0
dazzling,6,0
de,62,0
dead,33,13
deadened,1,0
deadly,1,0
deaf,1,0
deal,1,0
dealing,0,1
dealt,1,0
dear,53,21
dearer,4,2
dearest,10,11
dearly,4,1
death,103,29
deathbed,3,0
deaths,2,3
debarred,1,0
debated,2,0
debauchery,2,0
debrett,1,0
debts,2,0
decease,2,0
deceased,5,0
deceit,4,0
deceitful,1,1
deceive,7,4
deceived,24,1
deceiver,1,0
deceiving,3,0
decency,1,0
decent,1,0
decently,1,1
deception,1,0
deceptions,1,0
decide,8,1
decided,5,0
deciding,1,0
decision,7,2
decisions,1,1
decisive,2,0
deck,1,0
deckt,1,0
declaration,10,1
declare,10,1
declared,47,6
declares,1,1
declaring,6,2
decline,3,0
declined,2,1
declining,1,0
decorated,1,0
decree,9,0
decreed,2,0
decrees,0,3
dedicate,1,1
dedicated,3,2
deductible,1,1
deed,6,3
deeds,1,2
deeming,0,1
deep,21,3
deeper,3,1
deepest,2,1
deeply,0,3
defeat,0,1
defect,4,3
defective,3,3
defects,3,2
defence,1,2
defenceless,1,0
defend,2,1
defended,2,0
defer,5,0
deferring,1,0
defiance,0,1
deficient,3,0
defies,0,1
defiled,1,0
definitive,0,1
defrauded,1,0
defray,1,0
defrayed,1,0
defy,1,0
degeneracy,1,0
degradation,1,0
degree,8,1
degrees,6,1
dei,2,0
deign,9,0
deigned,2,1
deigns,1,0
dejected,1,1
dejection,1,0
delay,25,8
delayed,3,0
deletions,1,1
deliberating,1,0
deliberations,2,0
delicacy,8,4
delicate,5,0
delicious,6,0
delight,25,2
delighted,13,0
delightful,2,0
delights,4,1
delinquent,2,0
delirious,7,0
delirium,11,3
deliver,4,6
deliverance,1,4
delivered,12,12
deliverer,2,1
delivering,2,1
delivers,1,0
delivery,1,0
della,2,0
delle,1,0
delusion,0,1
delusions,2,0
demand,7,6
demanded,9,13
demanding,0,2
demands,3,3
demean,0,1
demeanour,3,1
denial,5,0
denied,8,0
denies,1,0
denis,1,0
denizens,1,0
denmark,4,0
denoted,2,0
denounce,1,1
denounced,0,1
deny,1,0
denying,2,0
depart,8,2
departed,10,0
departing,2,0
department,1,0
departure,10,0
depend,12,3
depended,7,1
depending,1,1
depends,8,7
deplorable,1,2
deplore,2,0
deplores,0,1
deploring,2,0
deportment,0,1
deposit,1,0
deposited,3,0
deposition,2,0
depraved,3,0
depravity,2,1
deprecate,1,1
deprecating,1,1
depreciate,0,1
deprive,11,0
deprived,19,1
depriving,2,0
depth,4,1
deranged,1,0
derangement,1,0
derivative,3,3
derive,3,1
derived,2,1
deriving,1,0
derogate,1,0
derogatory,1,0
desart,2,0
desarts,1,0
descend,7,2
descendant,0,1
descended,18,2
descending,3,1
descends,1,0
describe,5,1
described,15,1
describes,1,1
descried,5,0
description,7,0
descriptions,0,1
desert,1,1
deserted,4,0
desertion,2,0
deserve,7,4
deserved,6,1
deservedly,1,0
deserves,4,0
deserving,7,0
design,39,3
designed,1,2
designing,2,0
designs,24,2
desirable,3,0
desire,25,0
desired,30,2
desires,35,1
desiring,3,0
desirous,2,1
desist,2,0
desisted,2,1
desolate,1,0
desolation,1,0
despair,52,2
despaired,3,0
despairing,2,3
despatch,0,5
despatched,0,3
desperate,7,0
desperately,1,0
despicable,5,0
despightful,1,0
despise,3,0
despised,3,1
despises,0,1
despising,1,0
despite,1,1
despoiled,2,0
despond,0,1
despondency,3,0
despondent,7,0
desponding,0,1
despotic,4,0
destination,1,0
destined,19,2
destiny,3,3
destitute,1,1
destroy,9,2
destroyed,4,1
destroyer,1,0
destruction,19,8
detach,1,1
detailed,1,0
detain,4,2
detained,11,1
detaining,2,0
detains,1,0
detected,0,1
detection,6,0
determination,2,0
determine,3,5
determined,34,12
detest,0,1
detestation,5,0
detested,1,0
detriment,0,1
devastation,1,0
developed,1,0
deviate,1,0
deviation,1,0
devices,0,1
devil,11,1
devils,2,1
devise,1,0
devoid,2,0
devoted,9,2
devotees,2,0
devotion,7,2
devotions,2,0
devour,1,0
devoured,1,0
devouring,3,0
devout,3,3
devoutly,3,1
dew,2,0
dews,1,0
dewy,1,0
dexterity,1,0
dexterously,1,0
di,7,0
diabolic,0,1
diadem,1,0
diamond,1,0
diamonds,4,0
diana,1,0
diavolo,2,0
dictate,0,1
dictated,1,1
dictates,0,1
didst,0,13
die,21,5
died,13,9
diego,0,18
dies,3,0
diet,1,0
difference,3,0
differences,0,1
different,22,1
differently,1,0
difficult,5,2
difficulties,4,3
difficulty,44,1
diffidence,1,0
dig,0,1
digested,0,1
dignity,5,4
digressed,1,0
digression,2,0
digressions,0,1
dilated,0,1
dilemma,4,0
diligence,8,0
diligent,1,0
diligently,1,0
dim,4,0
diminish,3,0
diminished,2,0
dimly,1,0
dimmed,2,0
dimples,1,0
dine,1,0
dinner,1,0
dint,1,0
dipping,1,0
dire,1,0
direct,4,7
directed,4,6
directing,1,1
direction,4,4
directions,4,0
directly,5,8
directs,1,1
diresti,1,0
dirty,1,0
disagreeable,8,0
disappear,1,0
disappearance,1,0
disappeared,8,0
disappearing,4,0
disappointed,11,0
disappointment,22,0
disappointments,1,0
disapprobation,3,0
disapprove,3,0
disarm,1,1
disarmed,0,1
disarming,0,1
disavow,1,0
disavowal,1,0
disavowed,1,0
disbelieved,2,0
discarded,1,0
discerned,0,1
discernible,1,0
discernment,2,0
discharge,0,1
discharged,2,1
discharging,0,1
disciple,1,0
discipline,1,0
disclaim,2,2
disclaimer,3,3
disclaimers,1,1
disclose,3,4
disclosed,1,0
discompose,0,1
discomposed,1,0
discomposing,1,0
disconcerted,2,0
disconsolate,0,1
disconsolately,0,1
discontent,3,0
discontinue,2,1
discontinued,1,0
discordant,1,0
discountenance,1,0
discouraged,2,0
discourse,25,5
discoursed,0,2
discourses,0,5
discoursing,0,2
discover,27,8
discovered,45,14
discoveries,1,0
discovering,6,2
discovers,1,0
discovery,19,4
discredit,1,0
discreet,0,1
discretion,4,0
disculpate,0,2
discuss,0,2
discussing,3,0
disdain,1,1
disdained,1,0
disdainful,1,0
disdains,1,0
disease,4,0
diseases,2,0
disembarrassed,1,0
disengage,5,0
disengaged,4,2
disfigured,1,1
disgrace,10,0
disgraceful,1,0
disgracing,1,0
disguise,9,4
disguised,2,0
disgust,30,0
disgusted,8,1
disgusting,5,0
dishevelled,1,0
dishonour,4,0
disinterested,6,1
disinterestedness,1,0
disk,1,1
dislike,2,1
dislocated,3,0
disloyal,0,1
dismal,2,5
dismay,4,2
dismayed,0,1
dismiss,3,4
dismissed,3,5
dismissing,2,4
dismission,1,0
dismount,1,0
dismounting,0,1
disobedience,1,0
disobey,7,0
disobeyed,1,1
disobeying,0,1
disorder,7,3
disordered,7,6
dispatch,5,0
dispatched,7,0
dispatching,1,0
dispel,3,2
dispell,1,0
dispelled,4,1
dispelling,1,0
dispensation,3,1
dispensed,1,0
disperse,2,0
dispersed,9,4
dispersing,1,0
displace,1,0
display,3,1
displayed,4,1
displaying,7,4
displeased,3,1
displeasure,4,4
disposal,2,0
dispose,3,6
disposed,7,6
disposition,10,8
dispositions,2,0
dispossess,0,1
dispossessing,0,1
disproportion,0,1
dispute,1,0
disputed,1,0
disputing,4,0
disquiet,0,1
disrespect,1,1
disrespectfully,0,1
dissatisfied,2,0
dissimulate,1,0
dissimulation,1,0
dissipate,5,0
dissipated,6,0
dissipating,1,0
dissipation,2,0
dissolution,8,2
dissolve,0,1
dissolved,1,1
dissolving,1,0
dissonant,0,2
dissuade,0,1
distance,37,6
distant,23,2
distantly,1,0
distinct,2,1
distinction,6,0
distinctions,1,0
distinctly,3,1
distinguish,9,5
distinguished,23,4
distinguishing,1,0
distorted,1,0
distract,1,1
distracted,7,7
distraction,1,0
distress,17,1
distressed,0,1
distrest,1,1
distribute,7,6
distributed,4,4
distributing,7,7
distribution,6,6
distributor,1,1
distrust,5,0
disturb,2,0
disturbance,11,0
disturbed,6,3
disturber,1,0
disturbs,1,0
disuse,1,0
ditches,1,0
ditty,1,0
dive,1,0
diversion,1,0
divert,2,6
diverted,0,2
diverting,0,1
divide,1,0
divided,2,0
dividing,1,0
divine,7,6
divined,0,1
divinity,3,1
division,1,0
divisions,0,1
divorce,0,16
divulged,1,1
dizzy,1,0
doat,4,0
doated,2,0
doating,1,0
docility,2,0
doctor,1,0
dogged,0,1
dogs,2,0
doings,1,0
dole,0,1
doleful,0,1
domain,3,2
domains,4,0
domes,1,0
domestic,9,4
domestics,11,18
domina,46,0
dominic,2,0
dominion,2,1
dominions,1,6
don,110,4
donate,3,3
donation,1,1
donations,15,15
donna,38,1
donors,1,1
doom,11,1
doomed,13,1
dooms,2,0
door,157,47
doors,13,2
doorway,1,0
dormant,2,0
dost,2,18
dotards,1,1
dote,0,1
doted,2,2
doting,1,0
double,4,2
doubled,1,0
doublet,0,1
doubling,1,0
doubly,2,0
doubt,36,19
doubted,20,3
doubtful,1,0
doubting,3,0
doubtless,15,0
doubts,4,0
dower,0,1
downcast,1,0
downloading,1,1
downwards,3,0
dozen,1,0
dozens,1,0
drag,8,1
dragged,7,0
dragging,2,0
dragon,2,0
drama,0,1
drank,8,0
draught,5,0
draughts,0,1
draw,11,3
drawer,2,0
drawing,11,3
drawings,1,0
drawn,15,6
draws,1,0
dread,11,6
dreaded,18,4
dreadful,33,6
dreading,10,2
dreads,0,1
dream,12,5
dreamed,0,1
dreamest,0,1
dreams,15,2
drear,2,0
dreary,1,0
dregs,0,1
dress,12,0
dressed,5,1
dressing,1,0
drest,6,0
drew,70,3
dried,1,0
dries,1,0
drink,8,1
drinking,1,0
drinks,2,0
drive,14,0
driven,5,2
driver,2,0
drivers,4,0
driving,1,0
drolleries,1,0
droning,1,0
drop,11,2
dropped,10,2
drops,6,1
dropt,4,0
drove,7,0
drowned,0,1
drowning,1,0
drums,0,1
drunk,2,1
dry,2,2
dubbed,1,0
duchess,1,0
dudgeon,1,0
duenna,8,0
dug,2,1
duke,54,0
dukedom,1,0
dulcet,1,0
dull,2,0
dumb,0,1
dungeon,31,0
dungeons,3,0
dupe,1,0
dupes,1,0
durance,0,2
durandarte,7,0
dusk,1,0
dust,0,1
duties,8,0
dutiful,0,1
dutifully,0,1
duty,4,14
dwarfish,1,0
dwell,2,2
dwelling,5,0
dwellings,3,0
dwells,0,1
dwelt,8,1
dye,1,0
dying,10,3
dæmon,16,0
dæmons,9,0
e,2,1
eager,9,0
eagerly,17,8
eagerness,12,0
eagle,1,0
eagles,2,0
ear,9,2
earlier,2,0
earliest,1,1
early,5,1
earnest,3,1
earnestly,17,3
earnestness,3,1
ears,8,2
earth,19,6
earthen,1,0
earthly,0,1
earthquake,2,0
earthquakes,1,0
ease,9,2
easier,2,0
easily,32,3
east,0,1
eastern,3,0
easy,22,4
eat,7,0
eating,2,0
ebook,7,7
ebooks,7,7
ebullitions,1,0
eccentric,1,0
echo,2,0
echoed,3,3
ecstacy,2,0
edge,2,0
edition,1,1
editions,4,4
educated,4,0
education,7,0
educational,1,1
efface,1,0
effaced,3,0
effect,37,1
effected,2,0
effects,24,1
effectually,3,0
efficacious,1,0
effort,2,2
efforts,12,7
effusion,0,1
effusions,0,1
egg,2,0
eighteen,1,1
ein,1,1
ejaculation,0,1
ejaculations,0,1
ejects,0,1
elapse,1,0
elapsed,16,0
elastic,1,0
elbow,2,1
elder,2,0
elderly,1,0
eldest,4,0
elect,1,1
election,0,1
electronic,27,27
electronically,2,2
elegance,5,0
elegant,4,1
element,2,0
elementary,1,0
elements,2,0
elevated,1,0
elope,2,1
elopement,10,0
eloquence,13,0
eluded,1,0
eludes,1,0
eluding,0,1
elves,1,0
elvira,132,0
emaciated,4,0
email,2,2
emanation,0,1
embarked,1,0
embarrass,2,0
embarrassed,12,0
embarrassing,2,0
embarrassment,7,0
embarrassments,2,0
embellished,1,0
embitter,2,0
embittered,4,0
emblem,1,0
emblems,1,0
emboldens,0,1
embrace,8,2
embraced,5,0
embraces,9,1
embracing,0,1
embroidery,7,0
emerge,1,0
eminence,1,0
emissaries,2,0
emissary,1,0
emitted,2,0
emotion,12,0
emotions,11,2
empire,2,1
employ,10,3
employed,28,2
employee,1,1
employees,1,1
employer,1,0
employing,5,1
employment,6,0
employs,1,0
emptied,2,0
emptying,1,0
enable,7,0
enabled,5,0
enamoured,0,2
enchanted,8,4
enchanting,8,0
enchantment,2,1
enchantress,4,0
encircled,1,0
enclosed,0,1
encomiums,0,1
encounter,0,1
encourage,8,2
encouraged,14,4
encouragement,2,1
encourages,2,0
encouraging,3,0
encroachments,1,0
end,21,14
endangered,3,1
endear,1,0
endeared,1,0
endeavour,10,4
endeavoured,34,13
endeavouring,6,6
endeavours,9,0
ended,1,0
endless,3,0
endow,0,1
endowed,5,0
endurance,1,0
endure,1,0
endured,1,1
enemies,6,0
enemy,13,2
enfeebled,6,0
enforce,1,0
enforced,1,0
engage,2,3
engaged,21,2
engagement,2,2
engagements,5,1
engages,1,0
engaging,3,1
engender,1,0
engine,0,1
engines,2,0
england,3,0
english,1,2
engraved,2,0
engraven,0,2
engrossed,2,3
enjoin,0,2
enjoined,1,5
enjoins,0,1
enjoy,12,4
enjoyed,4,0
enjoying,8,0
enjoyment,8,0
enjoyments,1,0
enlarge,1,0
enlargement,0,1
enlighten,1,0
enlisted,1,0
enliven,0,1
enlivened,1,0
enmity,1,1
ennui,5,0
enormity,5,0
enormous,5,5
enquire,19,0
enquired,21,0
enquirer,1,0
enquiries,4,0
enquiring,6,0
enquiry,7,0
enraged,0,4
enraptured,0,1
enriches,1,0
ensanguined,1,0
enslave,0,1
enslaved,1,0
ensnare,0,1
ensnared,1,0
ensue,1,0
ensued,1,1
ensuing,1,0
ensure,1,0
ensured,1,0
ensuring,1,1
entails,1,0
entangling,1,0
enter,13,2
entered,52,10
entering,19,3
enterprise,1,0
enterprize,3,0
enterprizes,1,0
enterprizing,1,0
enters,1,0
entertain,4,0
entertained,16,1
entertaining,2,1
entertainment,3,1
entertains,1,0
enthralls,1,0
enthusiasm,6,0
enthusiastic,3,0
entice,1,0
entirely,19,4
entitled,0,2
entity,3,3
entrance,9,2
entranced,1,0
entreat,12,0
entreated,16,1
entreaties,11,0
entreating,1,0
entreats,0,1
entreaty,2,0
entrusted,6,1
entrusting,1,0
enumerating,2,0
enveloped,3,0
envied,1,0
envious,1,0
envisage,1,0
envy,12,1
epic,1,0
equal,12,8
equalled,3,0
equalling,1,0
equally,27,3
equals,3,0
equipage,4,0
equipment,3,3
equipping,0,1
equivocation,0,1
eradicate,1,1
ere,28,12
erect,1,0
erected,1,0
err,1,0
errand,1,1
erred,1,0
erroneous,1,0
error,9,3
errors,13,2
erudition,1,0
escape,48,18
escaped,20,4
escaping,10,2
especially,2,1
espousals,0,1
espouse,1,0
espousing,0,1
essay,0,1
essential,8,1
essentially,1,1
established,12,1
establishing,2,0
establishment,7,0
estate,4,2
estates,2,1
esteem,27,0
esteemed,6,0
esteems,2,0
estimable,3,0
estimate,1,0
estimation,2,0
estramadura,1,0
eternal,24,2
eternally,6,1
eternity,5,0
evade,0,1
evasion,0,1
evening,29,9
event,16,2
events,7,5
everlasting,5,0
everybody,1,0
evidence,2,1
evident,10,0
evidently,11,2
evil,6,2
exact,2,2
exactitude,1,0
exactly,9,1
exaggerated,2,0
exalt,1,0
exalted,3,0
exalting,1,0
examinants,1,0
examination,7,2
examine,17,1
examined,21,5
examiners,1,0
examining,3,0
example,17,1
examples,1,0
exasperate,0,1
exasperated,4,0
exceed,0,1
exceeded,3,0
exceeds,1,0
excel,1,0
excellence,4,0
excellent,10,8
excepted,2,0
exception,2,0
excess,14,0
excesses,4,1
excessive,14,0
exchange,7,1
exchanged,6,0
exchanges,1,0
excite,17,0
excited,18,0
excites,2,0
exciting,1,0
exclaim,4,0
exclaimed,43,0
exclamation,10,2
exclamations,3,1
excluded,2,1
exclusion,1,1
excruciating,1,0
excursions,1,0
excusable,1,0
excuse,17,8
excused,6,1
excuses,2,2
execrable,0,1
execrating,1,0
execration,2,0
execrations,4,0
execute,6,1
executed,6,0
executing,2,0
execution,7,3
executioners,1,0
exemplary,3,0
exempt,3,3
exempted,3,0
exemption,1,1
exercise,2,0
exercised,2,0
exercising,1,0
exert,1,0
exerted,10,1
exerting,0,1
exertion,2,0
exertions,8,0
exhale,1,0
exhaled,1,0
exhaust,1,1
exhausted,13,0
exhortation,1,0
exhortations,4,2
exhorted,1,0
exhorting,0,1
exile,2,0
exiled,2,0
exist,8,0
existed,14,0
existence,37,0
existing,2,0
exists,4,1
exit,1,0
exorcised,0,1
exorciser,7,0
exordium,1,0
expand,1,1
expanding,1,0
expands,1,0
expatiated,1,0
expect,21,6
expectation,5,0
expectations,7,0
expected,37,1
expecting,9,2
expedient,1,0
expedition,4,0
expeditions,1,0
expel,0,1
expence,4,0
expend,1,1
expense,1,2
expenses,2,2
expensive,1,0
experience,7,2
expert,1,0
expiate,3,0
expiated,2,0
expiating,1,0
expire,9,2
expired,17,1
expiring,4,0
explain,4,2
explained,5,1
explaining,4,1
explanation,10,3
explanations,0,1
exploded,1,1
exploits,1,0
explore,2,0
explored,0,1
exploring,1,1
exporting,1,1
expose,7,2
exposed,9,1
exposing,1,0
express,22,1
expressed,19,5
expresses,1,0
expressing,5,1
expression,12,2
expressions,15,3
expressive,8,0
expressly,1,0
exprest,2,0
expulsion,0,1
exquisite,13,1
extend,0,1
extended,11,0
extending,1,0
extensive,5,0
extent,14,2
extenuate,1,0
extenuated,1,0
exterior,3,0
exteriors,1,0
extinct,1,0
extinguish,1,1
extinguished,5,1
extinguishing,1,0
extol,1,0
extort,0,1
extract,2,1
extracted,1,0
extracting,1,0
extraordinary,4,1
extravagant,1,0
extreme,9,1
extremely,3,0
extremities,1,0
extremity,0,1
extricating,0,1
exult,2,0
exultation,4,0
exulting,3,0
exults,1,0
eye,63,2
eyeballs,2,0
eyed,5,0
eyelids,1,0
eyes,184,28
eyewitness,2,0
fable,0,1
fabric,1,0
fabricated,2,0
face,42,4
faces,2,1
facilitate,2,0
facilitated,1,1
facilitating,1,0
facility,2,1
fact,10,1
facts,0,1
faculties,4,0
faded,4,0
fail,5,3
failed,25,0
failing,5,0
failings,4,0
fails,1,0
failure,3,0
fain,11,0
faint,24,9
fainted,4,2
fainting,2,1
faintly,3,1
faintness,1,1
faints,0,1
fair,28,9
fairest,5,0
fairies,1,0
fairly,0,1
faith,2,3
faithful,3,7
faithfully,3,0
faithless,2,0
falconara,0,6
fall,31,7
fallacy,4,0
fallen,20,6
falling,9,9
falls,3,2
false,18,2
falsehood,9,2
falsehoods,1,0
falsely,2,0
falsity,1,0
faltered,1,1
faltering,4,3
fame,6,2
familiar,6,0
familiarise,1,0
familiarity,1,0
families,4,2
family,35,8
famous,3,0
fancied,15,2
fancies,0,2
fanciful,1,0
fancy,22,4
fangs,1,0
fantasies,0,1
fantastic,2,0
fantastically,1,0
far,47,13
fare,2,1
farewell,23,1
farther,1,9
fascinated,3,0
fashion,1,0
fashionable,2,0
fashioned,1,0
fast,4,1
fasten,1,0
fastened,18,0
fastening,2,0
faster,1,1
fasting,1,0
fat,1,0
fatal,27,13
fate,42,17
father,131,103
fatherless,1,0
fathers,0,3
fathom,0,1
fatigue,5,0
fatigued,4,0
fault,28,4
faultering,2,0
faultless,0,1
faults,10,1
faulty,1,0
fauns,1,0
faustus,1,0
favour,39,7
favourable,15,0
favourably,5,1
favoured,2,1
favouring,1,0
favourite,8,0
favours,9,1
fay,1,0
fe,4,0
fear,73,8
feared,15,2
fearful,17,0
fearfully,5,0
fearing,13,3
fearless,2,0
fears,21,1
feast,4,2
feasts,1,0
feather,2,0
feathers,0,2
feature,5,0
featured,1,0
features,37,0
fed,1,0
federal,2,2
fee,9,8
feeble,11,0
feebly,2,0
feed,1,1
feel,66,9
feelest,0,2
feeling,5,3
feelings,12,0
feels,3,0
fees,4,4
feet,26,8
feign,1,0
feigned,10,0
felicity,1,2
fell,40,9
fellow,8,6
felt,80,11
female,20,2
females,3,0
fenced,1,0
ferdinand,0,1
ferocious,1,0
fervency,1,0
fervently,0,4
fervour,3,2
festival,3,0
festoons,1,0
fetch,3,1
fetters,2,0
feuds,0,2
fever,4,0
feverish,2,0
fewer,0,1
fictitious,0,1
fidelity,6,2
field,1,1
fields,1,1
fiend,17,0
fiends,4,0
fierce,3,0
fiery,6,0
fifth,8,0
fight,3,0
figure,30,4
figures,5,0
file,2,2
files,2,2
filial,1,4
fill,4,1
filled,33,1
filling,1,0
fills,1,0
filth,1,0
final,1,0
finally,1,0
financial,1,1
find,67,17
finding,32,6
finds,4,0
fine,8,0
finest,1,0
finger,3,0
fingers,12,0
finis,1,0
finish,2,1
finished,4,0
finishing,1,0
fire,31,0
fires,1,0
fireside,1,0
firm,8,1
firmer,0,1
firmest,1,0
firmly,6,2
firmness,3,2
fish,0,1
fisher,1,0
fit,5,2
fitness,1,1
fits,4,1
fitting,0,1
fix,4,4
fixed,29,6
fixedly,1,0
fixing,1,0
fixt,1,0
flagrant,1,0
flake,1,0
flame,9,0
flamed,3,0
flames,22,0
flaming,5,0
flaring,1,0
flash,2,0
flashed,10,0
flatter,1,1
flattered,9,2
flattering,6,1
flattery,5,0
fled,19,4
flesh,7,0
fleshless,0,1
flew,27,2
flies,4,0
flight,18,21
flinging,0,2
flint,2,0
flinty,1,0
flit,1,0
flits,1,0
flitted,2,0
floated,5,0
floating,1,0
floats,1,0
flock,1,0
flocked,2,0
flood,0,4
floods,1,0
floor,9,3
flora,49,0
flourishing,0,3
flow,4,1
flowed,7,1
flower,2,0
flowers,8,1
flowery,2,0
flowing,3,0
flown,1,2
flows,1,2
fluency,1,0
flung,0,5
flush,1,0
flushed,1,1
fluttering,1,0
fly,21,6
flying,5,0
foamed,1,0
foaming,0,1
foe,5,1
foes,2,1
fog,1,0
fogs,1,0
foible,1,0
foibles,3,1
fold,3,1
folded,7,0
folding,4,0
folio,1,0
folks,0,1
follies,1,0
follow,32,10
followed,74,9
followers,3,1
following,28,9
follows,10,0
folly,9,2
fond,10,2
fondest,3,0
fondly,4,0
fondness,6,5
food,12,2
fool,4,3
fooleries,0,1
foolhardy,1,1
foolish,4,1
foolishly,1,0
fools,0,1
foot,20,14
footing,1,0
footmen,0,2
footstep,2,0
footsteps,6,0
forbad,4,3
forbear,2,4
forbearance,0,1
forbearing,1,0
forbid,8,4
forbidden,4,2
forbidding,3,0
forbids,2,0
forbore,6,0
force,21,7
forced,17,2
forces,5,0
forcible,1,0
forcibly,11,2
forcing,1,2
fore,1,0
foreground,1,0
forehead,11,2
foreign,1,0
foreigner,2,0
foreigners,1,0
foremost,2,0
forerunner,1,0
foresaw,1,0
foresee,1,0
foreseen,0,1
forest,10,4
forests,2,0
foretold,1,0
forfeit,1,0
forfeited,3,2
forfeiting,0,1
forgave,2,0
forged,1,0
forget,24,5
forgetful,1,0
forgetfulness,1,0
forgets,0,1
forgetting,1,1
forgive,15,13
forgiven,5,0
forgiveness,7,0
forgot,11,4
forgotten,23,7
forlorn,2,0
form,32,11
formal,1,0
format,4,4
formats,2,2
formed,30,0
forming,1,0
forms,4,0
forsake,1,1
forsaken,4,1
forsaking,1,0
forse,1,0
forsook,1,0
forsooth,1,1
forth,18,17
forthwith,0,1
fortifying,0,1
fortitude,9,2
fortnight,4,0
fortunate,13,0
fortunately,5,0
fortune,18,3
fortunes,1,0
forward,11,0
forwarding,1,0
forwards,7,2
foul,0,1
foulest,1,0
found,139,30
foundation,25,33
foundations,1,1
founded,2,5
foundress,1,0
fountains,2,0
fours,1,0
fourteen,3,0
fourth,1,3
fowl,1,0
